visit_id,wallet,business_id,business_type,lat,lon,timestamp,nullifier,is_fraud,fraud_type
v_000923,0x4937884c77daabfb329756c64ffaf2e7e16e7696,business_001,barbershop,40.7267817637353,-73.99436312644053,2026-09-05 12:58:00,null_4bd7f7a06d0f8bb0,0,normal
v_015881,0x4d884099a7e16589ad94248fe74d0f27d11f8cf8,business_038,bodega,40.72057814302983,-73.99558025467547,2026-09-03 14:28:00,null_997210e4d6ca352c,0,normal
v_012255,0xe46f3cca53a00f9efc6928aa3d5515ad1355e4a1,business_048,coffee_shop,40.73396347402307,-73.98428143228651,2026-09-01 18:50:00,null_0131ec76116d552c,0,normal
v_008794,0xd3e2fce15ecf5e5116b593697c52ad28ca3c541b,business_018,hardware_store,40.744226504332424,-73.9760251029316,2026-09-05 17:23:00,null_21d74203e7706385,0,normal
v_017926,0x597e1d3ff4f0d79cb1899224ba1f3d834a52907e,business_021,pizzeria,40.72905408831159,-73.98161499597781,2026-09-01 09:31:00,null_59ca52a9284f83a1,0,normal
v_001341,0x8988df8c744ede173346e8b0179a9bee04e0624b,business_006,pizzeria,40.717197969199155,-73.979771740075,2026-09-01 15:16:00,null_6450280eeb6167e3,0,normal
v_012668,0xd7fc89e2bcf57c6b5efcf284737639d512382ee3,business_026,coffee_shop,40.71122657522111,-74.0082414083805,2026-09-01 10:16:00,null_bbbd7b42675d7e70,0,normal
v_005092,0x7701e8d66980af16679784a8a8450bbe51cf0728,business_001,barbershop,40.7267817637353,-73.99436312644053,2026-09-01 15:50:00,null_75c6a45158d7898b,0,normal
v_013651,0xd19a800dc1177eb95841406739ac050df222b3dc,business_037,bodega,40.73079717580628,-74.00038803697592,2026-09-04 18:57:00,null_ee6c1c18bb03c676,0,normal
v_017501,0x892e4454af080827c4ec610c8a52d4d20cfe34e2,business_022,deli,40.71392731725708,-73.98905304146153,2026-09-03 11:27:00,null_e6e54124909c3112,0,normal
v_012834,0xb028840e8873971962bc1209d9b338f9787f2574,business_021,pizzeria,40.72905408831159,-73.98161499597781,2026-09-01 14:21:00,null_a82389d71a26316c,0,normal
v_011490,0x4262f3cb6f3a5c58b26af1482cdcdb6d9819042f,business_000,nail_salon,40.71696420031261,-73.96002162997098,2026-09-04 12:29:00,null_17950542aa1ad695,0,normal
v_000265,0x3f77f51c46a489d929db835cde58f2162a9e2e7f,business_032,barbershop,40.72915465864087,-73.98528048935924,2026-09-02 19:59:00,null_0833d83098052f1a,0,normal
v_018169,0xb7b7be36f36a6fe7dafec1cc78fd9ef5cfb7a7f1,business_007,pizzeria,40.72957951856837,-73.9868479973515,2026-09-04 08:39:00,null_594425f72aed3bb8,0,normal
v_010749,0xc0302b5546ae0be423a42fae51818e73b55ac687,business_019,laundromat,40.73154911779426,-73.98559557364835,2026-09-05 18:01:00,null_e8296f65aa09ccd7,0,normal
v_016487,0x4cd8f8c9d00d8423d83fec59a45bbf1d8c9afc0b,business_035,pizzeria,40.71701218084012,-73.97576833009072,2026-09-01 21:37:00,null_9106b181178e6c3d,0,normal
v_012449,0x7e6e9eaa830ebff28b4cde674a980883b220d76f,business_005,hardware_store,40.71787651470326,-73.97866006706128,2026-09-05 11:03:00,null_5e22cbeb913eec00,0,normal
v_005440,0xdc320f828a5e47f332e57430d61f42eee8ed22c3,business_001,barbershop,40.7267817637353,-73.99436312644053,2026-09-04 11:57:00,null_fe6d479613737280,0,normal
v_fraud_p1_71_b,0x8c56cdec84c592ceebdbb307445b13b90ff1bb4f,business_026,coffee_shop,40.71122657522111,-74.0082414083805,2026-09-02 11:20:00,null_ac818a6f1058e6e7,1,impossible_travel
